rank,pair_key,prototype_object_family,prototype_route_label,prototype_shortlist_status,prototype_display_title,prototype_display_why,prototype_display_first_step,prototype_primary_mediators,prototype_source_title,source_node,target_node,score,supporting_path_count,mediator_count,motif_count,public_specificity_score,question_family,app_link,audit_decision,audit_main_reason,audit_better_formulation,audit_deterministic_implication
52,FG3C000025__FG3C005708,path_question,promote_path_question,promote,Through which nearby pathways might intellectual property rights (IPR) protection shape income inequality?,"Nearby papers already suggest routes through foreign direct investments, foreign direct investment (FDI) flows, and innovation.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['foreign direct investments', 'foreign direct investment (FDI) flows', 'innovation']",How might intellectual property rights (IPR) protection change income inequality?,intellectual property rights (IPR) protection,income inequality,0.09967,3,3,3,3.4027,intellectual-property-rights-protection-income-inequality,/questions/#FG3C000025__FG3C005708,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
53,FG3C000255__FG3C002438,path_question,promote_path_question,promote,Through which nearby pathways might Special economic zones shape production?,"Nearby papers already suggest routes through migration, shadow prices, and employment.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['migration', 'shadow prices', 'employment']",How might Special economic zones change production?,Special economic zones,production,0.099657,5,5,5,4.6008,special-economic-zones-production,/questions/#FG3C000255__FG3C002438,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
54,FG3C000242__FG3C002284,path_question,downrank_path_question,downrank,Through which nearby pathways might digital finance shape firm total factor productivity (TFP)?,"Nearby papers already suggest routes through financing constraints, green innovation, and technological innovation.",Treat this as a lower-priority path question unless stronger local support appears.,"['financing constraints', 'green innovation', 'technological innovation']",How might digital finance change firm total factor productivity (TFP)?,digital finance,firm total factor productivity (TFP),0.099514,18,18,18,4.9259,digital-finance-firm-total-factor-productivity,/questions/#FG3C000242__FG3C002284,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
55,FG3C000088__FG3C004458,path_question,promote_path_question,promote,Through which nearby pathways might high-frequency trading shape market efficiency?,"Nearby papers already suggest routes through liquidity, volatility, and market liquidity.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['liquidity', 'volatility', 'market liquidity']",How might high-frequency trading change market efficiency?,high-frequency trading,market efficiency,0.099477,3,3,3,3.4026,high-frequency-trading-market-efficiency,/questions/#FG3C000088__FG3C004458,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
56,FG3C000004__FG3C000753,path_question,promote_path_question,promote,Through which nearby pathways might high-speed rail shape welfare?,"Nearby papers already suggest routes through air transport, executive compensation, and tourism.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['air transport', 'executive compensation', 'tourism']",How might high-speed rail change welfare?,high-speed rail,welfare,0.099035,13,13,12,1.9053,high-speed-rail-welfare,/questions/#FG3C000004__FG3C000753,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
57,FG3C000088__FG3C005928,path_question,downrank_path_question,downrank,Through which nearby pathways might negative news sentiment shape market efficiency?,"Nearby papers already suggest routes through liquidity, volatility, and cryptocurrency returns.",Treat this as a lower-priority path question unless stronger local support appears.,"['liquidity', 'volatility', 'cryptocurrency returns']",How might negative news sentiment change market efficiency?,negative news sentiment,market efficiency,0.099019,3,3,3,3.403,negative-news-sentiment-market-efficiency,/questions/#FG3C000088__FG3C005928,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
58,FG3C000165__FG3C000246,path_question,promote_path_question,promote,Through which nearby pathways might geopolitical risk shape green growth?,"Nearby papers already suggest routes through renewable energy consumption, financial development, and carbon emissions.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['renewable energy consumption', 'financial development', 'carbon emissions']",How might geopolitical risk change green growth?,geopolitical risk,green growth,0.098702,21,21,20,3.6318,geopolitical-risk-green-growth,/questions/#FG3C000165__FG3C000246,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
59,FG3C001452__FG3C002075,path_question,promote_path_question,promote,Through which nearby pathways might race/ethnicity shape catastrophic health expenditures?,"Nearby papers already suggest routes through health insurance coverage, hospitalization, and lack of health insurance.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['health insurance coverage', 'hospitalization', 'lack of health insurance']",How might race/ethnicity change catastrophic health expenditures?,race/ethnicity,catastrophic health expenditures,0.098414,3,3,3,3.4017,race-ethnicity-catastrophic-health-expenditures,/questions/#FG3C001452__FG3C002075,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
60,FG3C000062__FG3C006303,path_question,downrank_path_question,downrank,Through which nearby pathways might level of debt shape efficiency?,"Nearby papers already suggest routes through equity, liquid assets, and financial performance.",Treat this as a lower-priority path question unless stronger local support appears.,"['equity', 'liquid assets', 'financial performance']",How might level of debt change efficiency?,level of debt,efficiency,0.098234,3,3,4,3.401,level-of-debt-efficiency,/questions/#FG3C000062__FG3C006303,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
61,FG3C000015__FG3C006008,path_question,promote_path_question,promote,Through which nearby pathways might foreign direct investments shape regional green development?,"Nearby papers already suggest routes through technological innovation, green productivity growth, and SO2 emissions.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['technological innovation', 'green productivity growth', 'SO2 emissions']",How might foreign direct investments change regional green development?,foreign direct investments,regional green development,0.097945,6,6,7,0.2045,foreign-direct-investments-regional-green-development,/questions/#FG3C000015__FG3C006008,keep,already_saturated,reframe_as_path_question,require_more_path_support
62,FG3C000011__FG3C003025,path_question,downrank_path_question,downrank,Through which nearby pathways might foreign exchange intervention shape output?,"Nearby papers already suggest routes through monetary policy, exchange rate, and aggregate demand shocks.",Treat this as a lower-priority path question unless stronger local support appears.,"['monetary policy', 'exchange rate', 'aggregate demand shocks']",How might foreign exchange intervention change output?,foreign exchange intervention,output,0.097849,11,11,12,0.7041,foreign-exchange-intervention-output,/questions/#FG3C000011__FG3C003025,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
63,FG3C001621__FG3C005649,path_question,promote_path_question,promote,Through which nearby pathways might property taxes shape price-to-rent ratio?,"Nearby papers already suggest routes through house prices, housing stock, and housing price.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['house prices', 'housing stock', 'housing price']",How might property taxes change price-to-rent ratio?,property taxes,price-to-rent ratio,0.097731,3,3,3,3.4014,property-taxes-price-to-rent-ratio,/questions/#FG3C001621__FG3C005649,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
64,FG3C000071__FG3C002742,path_question,promote_path_question,promote,Through which nearby pathways might economic policy uncertainty shape bond yield spreads?,"Nearby papers already suggest routes through ESG ratings, uncertainty measures, and analyst earnings forecasts.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['ESG ratings', 'uncertainty measures', 'analyst earnings forecasts']",How might economic policy uncertainty change bond yield spreads?,economic policy uncertainty,bond yield spreads,0.097564,8,8,7,1.4035,economic-policy-uncertainty-bond-yield-spreads,/questions/#FG3C000071__FG3C002742,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
65,FG3C000025__FG3C000753,path_question,promote_path_question,promote,Through which nearby pathways might high-speed rail shape income inequality?,"Nearby papers already suggest routes through financial development, technological innovation, and city size distribution.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['financial development', 'technological innovation', 'city size distribution']",How might high-speed rail change income inequality?,high-speed rail,income inequality,0.097419,15,15,12,3.107,high-speed-rail-income-inequality,/questions/#FG3C000025__FG3C000753,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
66,FG3C005515__FG3C005999,path_question,promote_path_question,promote,Through which nearby pathways might EQ-5D index score shape choice data?,Nearby papers already suggest routes through quality of life and consistency.,Start with a short synthesis or pilot that follows the nearest mediating topics.,"['quality of life', 'consistency']",How might EQ-5D index score change choice data?,EQ-5D index score,choice data,0.097372,2,2,2,12.3018,eq-5d-index-score-choice-data,/questions/#FG3C005515__FG3C005999,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
67,FG3C000005__FG3C000166,path_question,promote_path_question,promote,Through which nearby pathways might COVID-19 pandemic shape aggregate demand?,"Nearby papers already suggest routes through income distribution, consumption, and exports.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['income distribution', 'consumption', 'exports']",How might COVID-19 pandemic change aggregate demand?,COVID-19 pandemic,aggregate demand,0.097261,20,20,19,6.1063,covid-19-pandemic-aggregate-demand,/questions/#FG3C000005__FG3C000166,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
68,FG3C000027__FG3C001717,path_question,promote_path_question,promote,Through which nearby pathways might interest rates shape price-cost margin?,"Nearby papers already suggest routes through inflation, exchange rates, and prices.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['inflation', 'exchange rates', 'prices']",How might interest rates change price-cost margin?,interest rates,price-cost margin,0.097199,5,5,4,4.6026,interest-rates-price-cost-margin,/questions/#FG3C000027__FG3C001717,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
69,FG3C000015__FG3C003490,path_question,promote_path_question,promote,Through which nearby pathways might foreign direct investments shape new-type urbanization?,"Nearby papers already suggest routes through energy consumption, financial development, and human capital.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['energy consumption', 'financial development', 'human capital']",How might foreign direct investments change new-type urbanization?,foreign direct investments,new-type urbanization,0.097157,7,7,7,0.8098,foreign-direct-investments-new-type-urbanization,/questions/#FG3C000015__FG3C003490,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
70,FG3C000753__FG3C003177,path_question,promote_path_question,promote,Through which nearby pathways might high-speed rail shape urban green total factor productivity (GTFP)?,"Nearby papers already suggest routes through technological innovation, talent, and industrial agglomeration.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['technological innovation', 'talent', 'industrial agglomeration']",How might high-speed rail change urban green total factor productivity (GTFP)?,high-speed rail,urban green total factor productivity (GTFP),0.097134,15,15,15,5.6075,high-speed-rail-urban-green-total-factor-productivity,/questions/#FG3C000753__FG3C003177,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
71,FG3C000269__FG3C001067,path_question,downrank_path_question,downrank,Through which nearby pathways might COVID-19 outbreak shape non-performing loans?,"Nearby papers already suggest routes through housing prices, bank profitability, and ESG performance.",Treat this as a lower-priority path question unless stronger local support appears.,"['housing prices', 'bank profitability', 'ESG performance']",How might COVID-19 outbreak change non-performing loans?,COVID-19 outbreak,non-performing loans,0.097099,8,8,7,1.4023,covid-19-outbreak-non-performing-loans,/questions/#FG3C000269__FG3C001067,downrank,already_saturated,reframe_as_path_question,require_more_path_support
72,FG3C000215__FG3C001052,path_question,downrank_path_question,downrank,Through which nearby pathways might natural resource dependence shape green total factor productivity (GTFP)?,"Nearby papers already suggest routes through green technology innovation, environmental regulation, and green technological innovation.",Treat this as a lower-priority path question unless stronger local support appears.,"['green technology innovation', 'environmental regulation', 'green technological innovation']",How might natural resource dependence change green total factor productivity (GTFP)?,natural resource dependence,green total factor productivity (GTFP),0.096962,14,14,12,5.0206,natural-resource-dependence-green-total-factor-productivity,/questions/#FG3C000215__FG3C001052,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
73,FG3C000008__FG3C002465,path_question,downrank_path_question,downrank,Through which nearby pathways might income shape out-of-pocket payment?,"Nearby papers already suggest routes through inpatient care utilization, use of medical services, and financial development.",Treat this as a lower-priority path question unless stronger local support appears.,"['inpatient care utilization', 'use of medical services', 'financial development']",How might income change out-of-pocket payment?,income,out-of-pocket payment,0.096921,5,5,4,4.6016,income-out-of-pocket-payment,/questions/#FG3C000008__FG3C002465,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
74,FG3C000011__FG3C002438,path_question,promote_path_question,promote,Through which nearby pathways might Special economic zones shape output?,"Nearby papers already suggest routes through investment, house prices, and shadow prices.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['investment', 'house prices', 'shadow prices']",How might Special economic zones change output?,Special economic zones,output,0.096901,4,4,4,4.0026,special-economic-zones-output,/questions/#FG3C000011__FG3C002438,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
75,FG3C000061__FG3C000068,path_question,promote_path_question,promote,Through which nearby pathways might digital economy shape total factor productivity (TFP)?,"Nearby papers already suggest routes through human capital, technological innovation, and technological progress.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['human capital', 'technological innovation', 'technological progress']",How might digital economy change total factor productivity (TFP)?,digital economy,total factor productivity (TFP),0.096898,33,33,33,6.1637,digital-economy-total-factor-productivity,/questions/#FG3C000061__FG3C000068,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_mediator_expansion_object
76,FG3C000600__FG3C004663,path_question,promote_path_question,promote,Through which nearby pathways might TVP-SV-VAR model shape food prices?,"Nearby papers already suggest routes through crude oil prices, oil prices, and volatility spillovers.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['crude oil prices', 'oil prices', 'volatility spillovers']",How might TVP-SV-VAR model change food prices?,TVP-SV-VAR model,food prices,0.096872,3,3,3,3.4015,tvp-sv-var-model-food-prices,/questions/#FG3C000600__FG3C004663,keep,promising_as_is,reframe_as_path_question,require_more_path_support
77,FG3C000015__FG3C000113,path_question,promote_path_question,promote,Through which nearby pathways might foreign direct investments shape firm performance?,"Nearby papers already suggest routes through productivity, technological innovation, and air pollution.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['productivity', 'technological innovation', 'air pollution']",How might foreign direct investments change firm performance?,foreign direct investments,firm performance,0.096793,12,12,11,1.3054,foreign-direct-investments-firm-performance,/questions/#FG3C000015__FG3C000113,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
78,FG3C000094__FG3C002487,path_question,promote_path_question,promote,Through which nearby pathways might free trade agreements shape green technology innovation?,Nearby papers already suggest routes through digital transformation and market competition.,Start with a short synthesis or pilot that follows the nearest mediating topics.,"['digital transformation', 'market competition']",How might free trade agreements change green technology innovation?,free trade agreements,green technology innovation,0.096724,2,2,2,5.3029,free-trade-agreements-green-technology-innovation,/questions/#FG3C000094__FG3C002487,keep,promising_as_is,reframe_as_path_question,require_more_path_support
79,FG3C002487__FG3C005256,mediator_question,promote_mediator_question,promote,Which nearby mechanisms most plausibly link free trade agreements to welfare level?,"The main open question is which channel does the work: trade liberalization, free trade, and pattern of trade.",Start by testing which nearby channel carries the effect.,"['trade liberalization', 'free trade', 'pattern of trade']",How might free trade agreements change welfare level?,free trade agreements,welfare level,0.096658,3,3,3,3.4013,free-trade-agreements-welfare-level,/questions/#FG3C002487__FG3C005256,keep,should_be_path_level_not_direct_edge,reframe_as_mediator_question,require_more_mediator_diversity
80,FG3C000004__FG3C006498,path_question,promote_path_question,promote,Through which nearby pathways might money growth rate shape welfare?,"Nearby papers already suggest routes through inflation, inflation rate, and unemployment.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['inflation', 'inflation rate', 'unemployment']",How might money growth rate change welfare?,money growth rate,welfare,0.096368,11,11,11,0.7151,money-growth-rate-welfare,/questions/#FG3C000004__FG3C006498,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
81,FG3C000005__FG3C001452,path_question,downrank_path_question,downrank,Through which nearby pathways might COVID-19 pandemic shape catastrophic health expenditures?,"Nearby papers already suggest routes through household income, unemployment, and poverty.",Treat this as a lower-priority path question unless stronger local support appears.,"['household income', 'unemployment', 'poverty']",How might COVID-19 pandemic change catastrophic health expenditures?,COVID-19 pandemic,catastrophic health expenditures,0.095896,4,4,4,6.502,covid-19-pandemic-catastrophic-health-expenditures,/questions/#FG3C000005__FG3C001452,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
82,FG3C000083__FG3C006303,path_question,downrank_path_question,downrank,Through which nearby pathways might trade liberalization shape level of debt?,"Nearby papers already suggest routes through product market competition, income inequality, and imports.",Treat this as a lower-priority path question unless stronger local support appears.,"['product market competition', 'income inequality', 'imports']",How might trade liberalization change level of debt?,trade liberalization,level of debt,0.095807,7,7,7,5.802,trade-liberalization-level-of-debt,/questions/#FG3C000083__FG3C006303,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
83,FG3C000004__FG3C000384,path_question,promote_path_question,promote,Through which nearby pathways might information and communication technology (ICT) shape welfare?,"Nearby papers already suggest routes through trade openness, productivity, and shadow economy.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['trade openness', 'productivity', 'shadow economy']",How might information and communication technology (ICT) change welfare?,information and communication technology (ICT),welfare,0.095798,21,21,21,6.1067,information-and-communication-technology-welfare,/questions/#FG3C000004__FG3C000384,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
84,FG3C000159__FG3C005155,direct_edge_question,keep_direct_edge,keep,How might monetary policy shocks change cyclical component?,monetary policy shocks and cyclical component are already linked by 3 nearby intermediate topics.,A short synthesis or pilot design looks like the sensible first move.,"['output', 'unemployment', 'unemployment rate']",How might monetary policy shocks change cyclical component?,monetary policy shocks,cyclical component,0.095678,3,3,3,3.4021,monetary-policy-shocks-cyclical-component,/questions/#FG3C000159__FG3C005155,keep,promising_as_is,keep_direct_edge,require_more_path_support
85,FG3C002487__FG3C004651,path_question,promote_path_question,promote,Through which nearby pathways might free trade agreements shape urban concentration?,"Nearby papers already suggest routes through trade liberalization, international trade, and transaction costs.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['trade liberalization', 'international trade', 'transaction costs']",How might free trade agreements change urban concentration?,free trade agreements,urban concentration,0.095676,3,3,3,3.4017,free-trade-agreements-urban-concentration,/questions/#FG3C002487__FG3C004651,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
86,FG3C000088__FG3C002623,path_question,promote_path_question,promote,Through which nearby pathways might U.S. economic policy uncertainty shape market efficiency?,"Nearby papers already suggest routes through volatility connectedness, utilities sector, and BRICS stock markets.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['volatility connectedness', 'utilities sector', 'BRICS stock markets']",How might U.S. economic policy uncertainty change market efficiency?,U.S. economic policy uncertainty,market efficiency,0.09566,4,4,4,4.0018,u-s-economic-policy-uncertainty-market-efficiency,/questions/#FG3C000088__FG3C002623,keep,already_saturated,reframe_as_path_question,add_path_level_candidate_object
87,FG3C000215__FG3C000384,path_question,downrank_path_question,downrank,Through which nearby pathways might information and communication technology (ICT) shape green total factor productivity (GTFP)?,"Nearby papers already suggest routes through foreign direct investments, carbon dioxide (CO2) emission, and financial development.",Treat this as a lower-priority path question unless stronger local support appears.,"['foreign direct investments', 'carbon dioxide (CO2) emission', 'financial development']",How might information and communication technology (ICT) change green total factor productivity (GTFP)?,information and communication technology (ICT),green total factor productivity (GTFP),0.095635,17,17,19,6.8081,information-and-communication-technology-green-total-factor-productivity,/questions/#FG3C000215__FG3C000384,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
88,FG3C000015__FG3C000023,path_question,promote_path_question,promote,Through which nearby pathways might foreign direct investments shape social welfare?,"Nearby papers already suggest routes through income inequality, energy consumption, and ecological footprint.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['income inequality', 'energy consumption', 'ecological footprint']",How might foreign direct investments change social welfare?,foreign direct investments,social welfare,0.095629,12,12,14,1.3113,foreign-direct-investments-social-welfare,/questions/#FG3C000015__FG3C000023,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
89,FG3C000159__FG3C001067,path_question,downrank_path_question,downrank,Through which nearby pathways might monetary policy shocks shape non-performing loans?,"Nearby papers already suggest routes through inflation, loan growth, and unemployment.",Treat this as a lower-priority path question unless stronger local support appears.,"['inflation', 'loan growth', 'unemployment']",How might monetary policy shocks change non-performing loans?,monetary policy shocks,non-performing loans,0.095625,9,9,9,2.0069,monetary-policy-shocks-non-performing-loans,/questions/#FG3C000159__FG3C001067,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
90,FG3C000004__FG3C005412,path_question,downrank_path_question,downrank,Through which nearby pathways might urban size shape welfare?,"Nearby papers already suggest routes through price dispersion, production efficiency, and skilled workers.",Treat this as a lower-priority path question unless stronger local support appears.,"['price dispersion', 'production efficiency', 'skilled workers']",How might urban size change welfare?,urban size,welfare,0.095554,6,6,7,2.701,urban-size-welfare,/questions/#FG3C000004__FG3C005412,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
91,FG3C000611__FG3C005708,path_question,downrank_path_question,downrank,Through which nearby pathways might intellectual property rights (IPR) protection shape green economic growth?,"Nearby papers already suggest routes through foreign direct investments, green technology, and foreign direct investment (FDI) flows.",Treat this as a lower-priority path question unless stronger local support appears.,"['foreign direct investments', 'green technology', 'foreign direct investment (FDI) flows']",How might intellectual property rights (IPR) protection change green economic growth?,intellectual property rights (IPR) protection,green economic growth,0.095545,4,4,4,6.502,intellectual-property-rights-protection-green-economic-growth,/questions/#FG3C000611__FG3C005708,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
92,FG3C000048__FG3C000149,path_question,promote_path_question,promote,Through which nearby pathways might foreign direct investment shape poverty?,"Nearby papers already suggest routes through economic growth, carbon emissions, and financial inclusion.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['economic growth', 'carbon emissions', 'financial inclusion']",How might foreign direct investment change poverty?,foreign direct investment,poverty,0.095299,11,11,11,0.7564,foreign-direct-investment-poverty,/questions/#FG3C000048__FG3C000149,keep,already_saturated,reframe_as_path_question,require_more_path_support
93,FG3C000013__FG3C000869,path_question,downrank_path_question,downrank,Through which nearby pathways might technological innovation shape urban-rural income gap?,"Nearby papers already suggest routes through industrial structure upgrading, financial development, and green total factor productivity (GTFP).",Treat this as a lower-priority path question unless stronger local support appears.,"['industrial structure upgrading', 'financial development', 'green total factor productivity (GTFP)']",How might technological innovation change urban-rural income gap?,technological innovation,urban-rural income gap,0.095017,17,17,18,4.3181,technological-innovation-urban-rural-income-gap,/questions/#FG3C000013__FG3C000869,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_mediator_expansion_object
94,FG3C000094__FG3C000753,path_question,promote_path_question,promote,Through which nearby pathways might high-speed rail shape green technology innovation?,"Nearby papers already suggest routes through industrial agglomeration, financial agglomeration, and spatial agglomeration.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['industrial agglomeration', 'financial agglomeration', 'spatial agglomeration']",How might high-speed rail change green technology innovation?,high-speed rail,green technology innovation,0.09482,15,15,13,5.6071,high-speed-rail-green-technology-innovation,/questions/#FG3C000094__FG3C000753,keep,promising_as_is,reframe_as_path_question,add_path_level_candidate_object
95,FG3C000005__FG3C000094,path_question,promote_path_question,promote,Through which nearby pathways might COVID-19 pandemic shape green technology innovation?,"Nearby papers already suggest routes through green credit, equity returns, and investor attention.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['green credit', 'equity returns', 'investor attention']",How might COVID-19 pandemic change green technology innovation?,COVID-19 pandemic,green technology innovation,0.094734,14,14,14,5.0046,covid-19-pandemic-green-technology-innovation,/questions/#FG3C000005__FG3C000094,keep,promising_as_is,reframe_as_path_question,add_mediator_expansion_object
96,FG3C000071__FG3C000193,path_question,promote_path_question,promote,Through which nearby pathways might economic policy uncertainty shape firm value?,"Nearby papers already suggest routes through corporate cash holdings, ESG performance, and debt issuance.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['corporate cash holdings', 'ESG performance', 'debt issuance']",How might economic policy uncertainty change firm value?,economic policy uncertainty,firm value,0.094723,11,11,11,0.704,economic-policy-uncertainty-firm-value,/questions/#FG3C000071__FG3C000193,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
97,FG3C000004__FG3C000012,path_question,downrank_path_question,downrank,Through which nearby pathways might urbanization shape welfare?,"Nearby papers already suggest routes through trade openness, trade, and productivity.",Treat this as a lower-priority path question unless stronger local support appears.,"['trade openness', 'trade', 'productivity']",How might urbanization change welfare?,urbanization,welfare,0.094623,20,20,19,3.6084,urbanization-welfare,/questions/#FG3C000004__FG3C000012,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
98,FG3C000025__FG3C002438,path_question,promote_path_question,promote,Through which nearby pathways might Special economic zones shape income inequality?,"Nearby papers already suggest routes through financial liberalization, technological progress, and innovation.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['financial liberalization', 'technological progress', 'innovation']",How might Special economic zones change income inequality?,Special economic zones,income inequality,0.09453,10,10,9,7.6028,special-economic-zones-income-inequality,/questions/#FG3C000025__FG3C002438,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
99,FG3C000437__FG3C002487,path_question,promote_path_question,promote,Through which nearby pathways might free trade agreements shape green investment?,"Nearby papers already suggest routes through free trade, digital transformation, and industry structure.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['free trade', 'digital transformation', 'industry structure']",How might free trade agreements change green investment?,free trade agreements,green investment,0.09451,4,4,4,4.0017,free-trade-agreements-green-investment,/questions/#FG3C000437__FG3C002487,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
100,FG3C000254__FG3C001210,path_question,promote_path_question,promote,Through which nearby pathways might government spending shocks shape real interest rates?,"Nearby papers already suggest routes through inflation, expected inflation, and consumption.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['inflation', 'expected inflation', 'consumption']",How might government spending shocks change real interest rates?,government spending shocks,real interest rates,0.09435,7,7,7,0.8035,government-spending-shocks-real-interest-rates,/questions/#FG3C000254__FG3C001210,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
101,FG3C000005__FG3C002284,path_question,promote_path_question,promote,Through which nearby pathways might COVID-19 pandemic shape firm total factor productivity (TFP)?,"Nearby papers already suggest routes through exports, green credit, and small businesses.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['exports', 'green credit', 'small businesses']",How might COVID-19 pandemic change firm total factor productivity (TFP)?,COVID-19 pandemic,firm total factor productivity (TFP),0.094154,15,15,15,5.6075,covid-19-pandemic-firm-total-factor-productivity,/questions/#FG3C000005__FG3C002284,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
102,FG3C000053__FG3C002487,path_question,promote_path_question,promote,Through which nearby pathways might free trade agreements shape green innovation?,"Nearby papers already suggest routes through digital transformation, international cooperation, and transaction costs.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['digital transformation', 'international cooperation', 'transaction costs']",How might free trade agreements change green innovation?,free trade agreements,green innovation,0.094141,3,3,3,3.4022,free-trade-agreements-green-innovation,/questions/#FG3C000053__FG3C002487,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
103,FG3C000176__FG3C002487,path_question,promote_path_question,promote,Through which nearby pathways might free trade agreements shape real wages?,"Nearby papers already suggest routes through productivity, productivity growth, and total factor productivity.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['productivity', 'productivity growth', 'total factor productivity']",How might free trade agreements change real wages?,free trade agreements,real wages,0.094079,5,5,4,4.6013,free-trade-agreements-real-wages,/questions/#FG3C000176__FG3C002487,keep,not_paper_shaped,reframe_as_path_question,require_more_mediator_diversity
