opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
patents -> higher fines,O34 -> K49,"Economic development, innovation, and growth",Law and economics,Cross-field boundary,0.40487204029279106,0.20458860523727254,0,10,10
labor force participation -> money growth,J21 -> O42,Labor and demographic economics,"Economic development, innovation, and growth",Cross-field boundary,0.4047800739767603,0.20449094921822053,0,10,10
advertising -> country characteristics,M37 -> O57,Business administration and business economics,"Economic development, innovation, and growth",Cross-field boundary,0.4047659231545275,0.20551413027549262,0,9,9
competition among jurisdictions yields higher transfers to the government -> r&d investment,H73 -> O32,Public economics,"Economic development, innovation, and growth",Cross-field boundary,0.4047285130405994,0.2043821512859605,0,10,10
advertising -> weak institutions,M37 -> O17,Business administration and business economics,"Economic development, innovation, and growth",Cross-field boundary,0.4047099909831749,0.20433900128258944,0,10,10
public education -> patents,H52 -> O34,Public economics,"Economic development, innovation, and growth",Cross-field boundary,0.40465809427397575,0.20427155969841893,0,10,10
antidumping measures -> growth trap,F18 -> O11,International economics,"Economic development, innovation, and growth",Cross-field boundary,0.4046260367568639,0.20326462225151956,0,11,11
sustainability of collusion -> theoretical models,K21 -> O41,Law and economics,"Economic development, innovation, and growth",Cross-field boundary,0.4045114675009128,0.20407694503703513,0,10,10
eis -> innovation incentives,F50 -> O31,International economics,"Economic development, innovation, and growth",Cross-field boundary,0.4045032825035891,0.20403964145445466,0,10,10
health insurance -> economic development,I13 -> O29,"Health, education, and welfare","Economic development, innovation, and growth",Cross-field boundary,0.4044744582602877,0.20507587853336906,0,9,9
money growth -> network structure,O42 -> D85,"Economic development, innovation, and growth",Microeconomics,Cross-field boundary,0.4044603974440726,0.2050528105720091,0,9,9
world war i -> innovation incentives,N44 -> O31,Economic history,"Economic development, innovation, and growth",Cross-field boundary,0.4044557684092573,0.20396539651831364,0,10,10
family background -> low economic growth,J12 -> O54,Labor and demographic economics,"Economic development, innovation, and growth",Cross-field boundary,0.4044165495375543,0.20391971925945834,0,10,10
dsge models -> economic stagnation,E13 -> O52,Macroeconomics and monetary economics,"Economic development, innovation, and growth",Cross-field boundary,0.40440414172847733,0.2049792536814026,0,9,9
seller revenue -> us economic growth,L85 -> O51,Industrial organization,"Economic development, innovation, and growth",Cross-field boundary,0.4043808510130848,0.20388702794478925,0,10,10
overruling -> r&d investment,L43 -> O32,Industrial organization,"Economic development, innovation, and growth",Cross-field boundary,0.40437496007381246,0.20494153293045853,0,9,9
growth trap -> personalized medicine,O11 -> I11,"Economic development, innovation, and growth","Health, education, and welfare",Cross-field boundary,0.4043511666424071,0.2049055089589844,0,9,9
